Feature,Coefficient,Selected
gcs_unable,2.1026519355508952,True
gcs_min,0.5836991558038624,True
first_careunit,0.5006133695905268,True
age,0.4603773973015449,True
spo2_min,0.3867830885021655,True
resp_rate_min,0.30003418211102195,True
heart_rate_max,0.2945674950637354,True
sofa2_liver_24h_max,0.2855575948511471,True
race,0.26854374357764,True
sofa2_renal_24h_max,0.24003167479779305,True
glucose_min,0.2299969622703318,True
sbp_min,0.22449867350185704,True
temperature_min,0.20935868605805788,True
resp_rate_max,0.201779642409278,True
mbp_min,0.1454674787162225,True
spo2_max,0.14442622033080751,True
marital_status,0.09508068359924635,True
insurance,0.08961572289087237,True
sofa2_cardiovascular_24h_max,0.08728989990066713,True
temperature_max,0.08591268155627041,True
dbp_max,0.061681299099443684,True
sofa2_cns_24h_max,0.053072645218664824,True
mbp_max,0.05100828272039199,True
gender,0.03493718091055356,True
sofa2_respiration_24h_max,0.03256315602083795,True
heart_rate_min,0.02816951892036529,True
dbp_min,0.026988314314194475,True
glucose_max,0.025374569025340087,True
language,0.01723558782440082,True
sofa2_coagulation_24h_max,0.010657409551886255,True
sbp_max,0.0020674350763945173,True
